ani_etiq;cap_bague;ani_sexe;C_Delphine
130;130_04;F;P
132;132_04;M;P
134;134_04;M;P
156;156_05;F;DF
158;158_05;M;DF
164;164_05;F;PD
170;170_05;M;P
172;172_05;M;DN
174;174_05;M;DF
180;180_05;M;DF
188;188_05;F;P
190;190_05;F;DN
210;210_05;F;DF
232;232_06;F;DN
280;280_06;M;DN
284;284_06;M;P
320;320_07;F;P
332;332_07;M;P
334;334_07;M;P
338;338_07;M;PD
342;342_07;F;DN
344;344_07;F;DF
350;350_07;M;DN
352;352_07;M;PD
368;368_07;F;P
372;372_08;M;P
378;378_08;M;P
386;386_08;F;DN
392;392_08;M;P
396;396_08;F;DF
406;406_08;F;DN
412;412_08;M;DF
416;416_08;M;PD
420;420_08;F;DN
434;434_08;M;DN
438;438_08;F;DF
442;442_08;M;PD
444;444_08;F;DN
446;446_08;F;DN
476;476_09;F;P
480;480_09;M;P
486;486_09;M;DF
494;494_09;M;DN
496;496_09;M;P
500;500_09;F;DN
504;504_09;F;P
510;510_09;F;DN
516;516_09;M;P
520;520_09;M;D
530;530_10;F;DF
536;536_10;F;DN
538;538_10;F;DN
546;546_10;F;DF
550;550_10;M;P
552;552_10;F;PD
556;556_10;M;PD
560;560_10;M;DF
566;566_10;F;P
568;568_10;F;P
578;578_10;F;PD
610;610_11;M;P
632;632_11;F;DF
634;634_11;M;DF
636;636_11;M;PD
658;658_11;F;DF
660;660_11;F;PD
664;664_11;F;DN
666;666_11;F;DF
696;696_12;F;P
698;698_12;F;DF
710;710_12;F;DN
722;722_12;M;DF
724;724_12;F;P
726;726_12;M;DF
736;736_12;M;DN
738;738_12;M;P
760;760_12;M;DN
772;772_13;M;DN
766;766_12;M;P
782;782_13;M;DN
784;784_13;F;DN
800;800_13;F;DF
844;844_14;M;PD
853;853_14;F;DN
857;857_14;M;P
858;858_14;F;P
860;860_14;M;P
864;864_14;M;DF
868;868_14;F;P
870;870_14;M;DN
880;880_15;M;DF
885;885_15;F;DF
886;886_15;M;P
887;887_15;F;P
890;890_15;M;DF
900;900_15;F;P
905;905_15;F;DN
909;909_15;F;PD
910;910_15;F;P
922;922_16;F;P
926;926_16;M;P
927;927_16;M;DN
928;928_16;F;P
930;930_16;M;P
931;931_16;F;PD
938;938_16;F;DN
943;943_16;M;P
946;946_16;M;DN
950;950_16;M;P
952;952_16;M;DN
955;955_16;F;P
F1019;F1019;M;DN
F1062;F732_12;F;DN
F1064;F1064_12;F;DN
F1094;F1094_13;F;DN
F1104;F861_14;F;DN
F1132;F1132_14;M;PD
F1148;F1148_14;M;P
F1213;F1213_15;F;P
F1243;F1243_16;M;DN
F1268;F919_16;F;PD
F1303;F1303_16;M;P
F501;F501_09;F;P
F532;F532_09;F;DN
F542;F542_09;F;DN
F554;F554_11;M;DN
F572;F572_10;F;P
F582;F582_11;F;DN
F586;F586_11;F;DN
F77;F436_08;M;P
1000;1000_17;M;DN
971;971_17;M;PD
972;972_17;M;P
974;974_17;F;P
976;976_17;M;DN
977;977_17;F;P
978;978_17;F;P
981;981_17;F;DF
984;984_17;F;P
990;990_17;F;DF
995;995_17;F;PD
F1311;F991_17;M;P
F1322;F1322_17;M;PD
F1347;F1347_17;M;P
F1349;F965_17;M;DF
F1376;F1376_17;F;P
